ZULU TIME;Plane Longitude;Plane Latitude;Plane Altitude;Plane Bank Degrees;Plane Pitch Degrees;Plane Heading Degrees True
52545.890625;1.5135987665657473;43.56443644231943;1063.3041944545275;-2.808220179619089;5.376371879231311;325.2377922638773
52546.0;1.5135630146176342;43.56447507449513;1061.0115712220468;-2.7096445580085087;5.491371774286815;325.3074404178536
52546.11328125;1.5135311771259536;43.564509551966815;1058.930744886426;-2.5895623729905277;5.5814798986858545;325.3639275075081
52546.22265625;1.513494722037701;43.56454911095513;1056.501147130632;-2.4461680713725618;5.670145145622729;325.4278216768181
52546.3359375;1.5134581653728538;43.56458886194184;1054.0085976717403;-2.319040878731653;5.700470758650762;325.49387190898784
52546.4453125;1.5134273104966407;43.56462247435244;1051.8627073069788;-2.241248583266807;5.666677970845301;325.55302164040165
52546.55859375;1.5133917873501812;43.56466124170474;1049.359120451831;-2.179969450680185;5.592322397106427;325.6247661861064
52546.66796875;1.513360735721559;43.564695193253456;1047.1620644624609;-2.1318076325124125;5.537805534698678;325.68650365772663
52546.77734375;1.5133289332406592;43.56473002961047;1044.9150208126057;-2.048482243297103;5.520417153732295;325.74330507178854
52546.890625;1.513290212289391;43.56477253005521;1042.1782668635578;-1.9151134046040266;5.538157716327756;325.8011732723987
52547.0;1.5132581999763357;43.56480773478739;1039.9075153735237;-1.834499558920357;5.5632966544548115;325.8426702635852
52547.11328125;1.5132228306832887;43.56484669827836;1037.3878773888596;-1.7890786866795994;5.582209021379754;325.88477644991696
52547.22265625;1.5131873575256392;43.564885843147856;1034.8445078480095;-1.7578689727513583;5.533011168788152;325.92516667473944
52547.3359375;1.5131572653889067;43.564919099858024;1032.6728606093218;-1.7263549530930113;5.3959642768654925;325.96145727523424
52547.4453125;1.5131210540995066;43.56495917920942;1030.0477566297993;-1.7642541799076614;5.09178948614179;326.01257216196615
52547.55859375;1.5130905689850391;43.56499297459798;1027.8486893548293;-1.8855086849050782;4.756440858272505;326.06213790455934
52547.66796875;1.5130543336714888;43.56503321917194;1025.2806744280708;-2.1733871716601776;4.369203710165455;326.1237460499083
52547.72265625;1.5130232649834137;43.56506779901923;1023.1358234199214;-2.575333505303825;4.131386768549366;326.1780501648588
52547.890625;1.5129875444151988;43.565107652119536;1020.7377036394096;-3.185935244785102;3.9998266529643427;326.2451486518584
52547.9453125;1.5129563678432767;43.565142531993054;1018.6989598122381;-3.8097755868594065;3.9983641387083133;326.3133165669286
52548.05859375;1.5129259603500187;43.56517664941283;1016.7477859992857;-4.374035694216707;4.0730112761473825;326.39206380012473
52548.16796875;1.5128950563599892;43.56521143437128;1014.7886798241105;-4.753586856995911;4.176777644452332;326.487020618008
52548.27734375;1.512858753268353;43.565252459583995;1012.5077332393981;-5.0458188999244555;4.307005873149203;326.6178708557324
52548.390625;1.5128286409778966;43.565286634344346;1010.6204822277493;-5.232079036471402;4.396248697957767;326.74020975774397
52548.5;1.512793005652008;43.565327258862716;1008.3831176185589;-5.428569120092834;4.458983985484334;326.89788587112406
52548.61328125;1.512762855788216;43.56536179333931;1006.483020053682;-5.592614320140249;4.469746656068981;327.03937179236596
52548.72265625;1.5127271939776163;43.565402843800626;1004.2212273757434;-5.790854676259791;4.394209886490518;327.2165598196626
52548.8359375;1.5126974438646477;43.565437267502915;1002.3235686839407;-5.962731083499984;4.248202213263625;327.37213386953897
52548.9453125;1.5126626457877936;43.565477752818126;1000.1019058547573;-6.1245612467791455;4.001205924289862;327.5612465991386
52549.05859375;1.5126282320192588;43.565518043878804;997.918559245206;-6.216420546775249;3.709144474059178;327.7533234424319
52549.16796875;1.5125988995610242;43.56555259901518;996.0811350734425;-6.264507307114266;3.4594641341850116;327.91707305645764
52549.27734375;1.5125644199201527;43.56559348238293;993.9610142777072;-6.29277008153544;3.195923206050774;328.10538485079275
52549.390625;1.5125354046340769;43.56562811634127;992.2167400212916;-6.294680943511778;3.011761882676778;328.2589853798088
52549.5;1.5125017940268022;43.56566850140057;990.2439101899149;-6.243640324398589;2.846567140854261;328.43218013848355
52549.61328125;1.5124730984728079;43.565703206430086;988.5954135283974;-6.129744091879616;2.735306134039104;328.57656438434043
52549.72265625;1.512439892529268;43.56574362544221;986.7235501772229;-5.976480351163509;2.619834742487457;328.7406379496585
52549.77734375;1.5124110345483563;43.56577897737457;985.1267733381045;-5.903845002994581;2.5241852002374214;328.88131578554896
52549.9453125;1.5123787532590613;43.56581876892089;983.3698908156763;-5.889901989570564;2.41478776784862;329.03719485066694
52550.05859375;1.5123458882770529;43.56585954422504;981.6062695727808;-5.961099840592111;2.272346520585531;329.1968119725003
52550.11328125;1.5123182201800494;43.56589408229747;980.1414329710851;-6.081043563972266;2.126555065534551;329.3332561167247
52550.22265625;1.512285915643898;43.5659346600323;978.4596088286331;-6.276592496348801;1.9473703887445557;329.4956792200935
52550.390625;1.512253321638982;43.56597589008618;976.8026803021214;-6.518399672132398;1.7917560544500395;329.6644559417579
52550.4453125;1.5122261313549963;43.5660105165481;975.4556691067927;-6.69957410345883;1.6956087621642395;329.81171256264423
52550.55859375;1.512194401781668;43.5660511979733;973.9218698123285;-6.8309513117879845;1.6215990734738028;329.993403719665
52550.66796875;1.5121672600172753;43.56608623836772;972.6361850579362;-6.887664180406559;1.5744101502718308;330.15778867336616
52550.77734375;1.5121358614630358;43.56612705972104;971.1704804388685;-6.928922447077408;1.5324590216679068;330.3544475183661
52550.890625;1.5121131847736489;43.566156736733255;970.1228067543983;-6.948259688780114;1.521641709569899;330.49605755447993
