name;latitude;longitude;elevation;Plane Bank Degrees;Plane Pitch Degrees;Plane Heading Degrees True
1690732795;47.240654;-0.262545;1850;0;0;51
1690732805;47.244934;-0.25515;1825;0;0;47
1690732810;47.247253;-0.251312;1825;0;0;47
1690732821;47.251686;-0.243812;1850;0;0;47
1690732831;47.255951;-0.236755;1850;0;0;47
1690732841;47.259979;-0.230232;1825;0;0;43
1690732847;47.262863;-0.226799;1850;0;0;36
1690732852;47.265324;-0.224093;1850;0;0;36
1690732857;47.268036;-0.221169;1825;0;0;35
1690732862;47.270119;-0.218952;1850;0;0;33
1690732867;47.273331;-0.216135;1850;0;0;30
1690732871;47.275475;-0.214304;1850;0;0;29
1690732878;47.279243;-0.211839;1850;0;0;20
1690732882;47.281631;-0.210594;1850;0;0;17
1690732888;47.285156;-0.209427;1850;0;0;8
1690732893;47.288136;-0.209374;1850;0;0;8
1690732898;47.290508;-0.209656;1825;0;0;355
1690732904;47.294327;-0.209797;1850;0;0;359
1690732909;47.297516;-0.209908;1850;0;0;356
1690732914;47.300426;-0.210219;1850;0;0;355
1690732919;47.303406;-0.210571;1850;0;0;354
1690732929;47.309097;-0.211075;1825;0;0;356
1690732940;47.314682;-0.21183;1700;0;0;356
1690732945;47.317749;-0.211899;1575;0;0;1
1690732950;47.320538;-0.211064;1500;0;0;16
1690732956;47.323189;-0.209163;1425;0;0;28
1690732961;47.325611;-0.206487;1350;0;0;40
1690732966;47.327728;-0.203659;1275;0;0;41
1690732969;47.329193;-0.201909;1275;0;0;38
1690732976;47.332359;-0.199303;1225;0;0;22
1690732982;47.335014;-0.198106;1225;0;0;13
1690732987;47.337296;-0.197754;1250;0;0;4
1690732992;47.33963;-0.197823;1250;0;0;357
1690732997;47.341763;-0.198176;1275;0;0;351
1690733002;47.343979;-0.198853;1300;0;0;345
1690733007;47.345955;-0.199655;1300;0;0;341
1690733012;47.346954;-0.200157;1325;0;0;339
1690733018;47.349472;-0.20153;1375;0;0;337
1690733022;47.351494;-0.202895;1400;0;0;334
1690733028;47.353497;-0.204444;1400;0;0;331
1690733033;47.355331;-0.206406;1425;0;0;321
1690733038;47.356613;-0.208054;1400;0;0;318
1690733044;47.358582;-0.2108;1375;0;0;316
1690733049;47.360184;-0.213066;1400;0;0;315
1690733054;47.361504;-0.215079;1400;0;0;314
1690733058;47.362656;-0.216911;1425;0;0;311
1690733064;47.36425;-0.220008;1450;0;0;305
1690733069;47.365082;-0.222473;1450;0;0;295
1690733075;47.365551;-0.225361;1450;0;0;279
1690733080;47.365646;-0.228107;1425;0;0;272
1690733085;47.366344;-0.231135;1425;0;0;295
1690733091;47.36824;-0.232773;1400;0;0;340
1690733096;47.370392;-0.232704;1375;0;0;12
1690733101;47.372223;-0.23085;1400;0;0;44
1690733106;47.373596;-0.227486;1375;0;0;66
1690733111;47.373837;-0.22367;1375;0;0;90
1690733116;47.373047;-0.220149;1325;0;0;116
1690733122;47.371464;-0.217332;1325;0;0;134
1690733126;47.369934;-0.215538;1300;0;0;145
1690733132;47.367508;-0.213684;1275;0;0;153
1690733137;47.365273;-0.212543;1275;0;0;162
1690733142;47.363598;-0.211769;1300;0;0;164
1690733148;47.360851;-0.210853;1300;0;0;169
1690733153;47.358765;-0.210594;1300;0;0;178
1690733158;47.356339;-0.210869;1325;0;0;184
1690733163;47.354378;-0.211416;1325;0;0;191
1690733168;47.352402;-0.212036;1300;0;0;190
1690733174;47.349609;-0.212654;1275;0;0;186
1690733179;47.347321;-0.212997;1275;0;0;184
1690733189;47.342648;-0.213459;1275;0;0;184
1690733194;47.340321;-0.21374;1275;0;0;185
1690733199;47.338226;-0.214374;1275;0;0;194
1690733204;47.336334;-0.215538;1250;0;0;208
1690733210;47.334274;-0.217804;1250;0;0;219
1690733215;47.33287;-0.220079;1225;0;0;230
1690733220;47.331802;-0.223022;1200;0;0;243
1690733225;47.330826;-0.225431;1225;0;0;235
1690733226;47.330406;-0.226135;1250;0;0;229
1690733236;47.327316;-0.229408;1350;0;0;206
1690733241;47.325424;-0.230431;1400;0;0;198
1690733246;47.323288;-0.231056;1475;0;0;185
1690733251;47.321365;-0.231331;1500;0;0;185
1690733256;47.319489;-0.231674;1550;0;0;186
1690733262;47.31723;-0.232333;1600;0;0;192
1690733272;47.313366;-0.234445;1700;0;0;203
1690733277;47.311737;-0.235924;1750;0;0;212
1690733283;47.310062;-0.237967;1800;0;0;223
1690733288;47.308804;-0.24022;1825;0;0;233
1690733293;47.307686;-0.242756;1875;0;0;235
1690733298;47.306488;-0.245476;1875;0;0;237
1690733302;47.305573;-0.247673;1875;0;0;239
1690733308;47.304337;-0.250969;1875;0;0;241
1690733314;47.303238;-0.254539;1900;0;0;246
1690733319;47.302334;-0.258249;1875;0;0;251
1690733324;47.30159;-0.261982;1875;0;0;253
1690733329;47.300949;-0.265663;1875;0;0;256
1690733334;47.30024;-0.269728;1875;0;0;256
1690733340;47.299633;-0.273602;1875;0;0;256
1690733344;47.299076;-0.277194;1900;0;0;257
1690733354;47.297867;-0.28487;1900;0;0;255
1690733365;47.296509;-0.293747;1900;0;0;257
1690733376;47.295273;-0.302124;1900;0;0;257
1690733386;47.294003;-0.310293;1900;0;0;257
1690733397;47.292789;-0.318533;1900;0;0;256
1690733407;47.291519;-0.326912;1900;0;0;256
1690733417;47.290508;-0.334097;1900;0;0;257
1690733428;47.289112;-0.343323;1900;0;0;256
1690733438;47.287857;-0.351357;1900;0;0;256
1690733449;47.286667;-0.359665;1875;0;0;257
1690733457;47.285568;-0.366875;1900;0;0;256
1690733469;47.28418;-0.375789;1900;0;0;256
1690733479;47.282967;-0.383536;1875;0;0;256
